tunnel,category,missing,max_id,n_rings,acc_base,acc_msk,base_correct,base_fn,base_fp,base_swap,base_unmapped,msk_correct,msk_fn,msk_fp,msk_swap,msk_unmapped,c1_count_ratio,c1_density_cv,c1_corr_dens_acc,c2_k_span,c2_k_meanshift,c2_misloc_frac,c2_acc_aligned,c2_acc_misloc,c3_recall_near,c3_recall_far,c4_n_rings,c4_rot,c4_flip,c4_other,c4_flip_acc,c3_recall_d0,c3_recall_d1,c3_recall_d2,c3_recall_d3
3-1-1,regular,False,6,10,0.007120114842046176,0.35411482720143944,0.3193757605370364,0.6679343580678391,0.00903463536236575,0.003655246032758723,0.0,0.4858756047205295,0.013527243113122244,0.050297178846907487,0.4502999733194408,0.0,2.697238924637919,0.3255841979035041,0.5404641964137814,0.3954865867524653,0.04662797805836563,0.9,0.02817089042148735,0.37104082049252873,0.0009328439535147293,0.0,10,8,0,2,,0.9682112068965517,0.0009328439535147293,0.0,
3-1-2,regular,False,6,10,0.002370900942358096,0.24137700337529755,0.20254498073244434,0.7252442603278455,0.007544644094781324,0.06466611484492885,0.0,0.39011413631817493,0.05113311122995278,0.04759278232673508,0.5111599701251373,0.0,3.268744193401728,0.3304549019631323,-0.793985495537319,0.3977406481176864,0.061667325766245305,0.0,0.313569931937124,,0.22421765599020332,0.21155295208394792,10,4,6,0,0.05622331354824026,0.7057743423439432,0.22421765599020332,0.21155295208394792,
3-1-3,regular,False,6,10,0.0,0.28879838991504414,0.22448612049110778,0.7669731760957279,0.00854070341316432,0.0,0.0,0.3905407419997778,0.08669277304636573,0.051948150602918734,0.47081833435093773,0.0,1.7187566670617518,0.2050101380477723,0.8725084098590558,0.5193732802681463,0.05803131987312425,0.3,0.2786486356184585,0.13389917225328773,0.3289288513006012,0.3182467183210246,10,2,8,0,0.10577339064162446,0.6059711459047218,0.3289288513006012,0.3182467183210246,
4-1,complex,False,7,10,0.0,0.20628237198238994,0.30316036478851954,0.6955472708950478,0.0012923643164327327,0.0,0.0,0.39316179066154633,0.19982462295805103,0.05477007930951431,0.3522435070708883,0.0,39.36591989137814,1.0273122820683076,0.016436476406946277,17.65746074124996,8.211397288852485,0.8,0.7136204551918925,0.07788055131744429,0.5422998486941648,0.8426102502979738,9,4,1,4,0.042944254638238984,0.8187311178247734,0.5422998486941648,0.6607696070438611,0.8426102502979738
4-2,complex,False,7,10,0.0,0.11622793725935543,0.35487416894924323,0.6449977495724187,0.0001280814783380271,0.0,0.0,0.4058356802078109,0.4629919113202937,0.024133328189498864,0.10703908028239652,0.0,29.34696921755639,1.034702414512198,-0.05596028398712315,16.261313816158818,8.720756292581784,0.0,0.12528972450093873,,0.003860967075787854,0.11901918842223119,10,6,0,4,,0.9863832012550786,0.003860967075787854,0.12298284238248665,0.11901918842223119
4-3,complex,False,7,10,0.0,0.32596470876511696,0.3401652050328906,0.6597621481360972,7.264683101221592e-05,0.0,0.0,0.49325049548208333,0.08346506966421816,0.06204653285325033,0.36123790200044814,0.0,28.868055555555557,1.0419657293672535,0.37077887204762844,17.334164648987468,10.41132911339481,0.4,0.42129791282873397,0.0019051804031164454,0.2961449031318027,0.4916155483470652,9,7,0,2,,0.6795934939343979,0.2961449031318027,0.6415042759232875,0.4916155483470652
4-4,complex,False,7,10,0.0,0.3348364979107356,0.3377107011834062,0.6611490923700459,0.0011402064465478904,0.0,0.0,0.502290918165974,0.05711998712719733,0.05793683615002759,0.38265225855680096,0.0,35.15531914893617,1.0872293854272155,0.012387466807014524,14.994571434560129,7.400274300287176,1.0,,0.3385495358481036,,,10,9,0,1,,,,,
4-5,complex,False,7,10,0.0,0.3518395999860046,0.35498883507399676,0.6439128495727835,0.0010983153532197537,0.0,0.0,0.4878138199305578,0.0021909983200127394,0.09482736991619521,0.41516781183323426,0.0,31.352980640214682,1.058489559670388,0.2554567346141128,17.25516953117754,7.841591972169429,1.0,,0.301721106615024,,,10,9,0,1,,,,,
4-6,complex,False,7,10,0.0,0.10871486668902129,0.37427247923596074,0.62516259699381,0.0005649237702292161,0.0,0.0,0.36435218132601743,0.05022876456385305,0.07844969007131693,0.5069693640388125,0.0,80.24766943814564,1.1545434185496637,0.1414393207237178,16.914819488987767,9.016053685960555,1.0,,0.09723392622339097,,,10,4,6,0,0.11983900096349549,,,,
4-7,complex,False,7,10,0.0,0.4418852440434359,0.3736399616883479,0.625913069036989,0.00044696927466312603,0.0,0.0,0.5615236483233584,0.07481008873505668,0.08914503190103837,0.2745212310405465,0.0,28.056333778716436,1.0488881514607928,0.5667419530580471,17.289036833276903,8.994816436293705,0.2,0.4197812681795941,0.003099229817320489,0.3621373798533635,0.5372294751599054,10,8,0,2,,0.8394602409638554,0.3621373798533635,0.5050123118193466,0.5372294751599054
4-8,complex,False,7,10,0.0,0.08816148348464362,0.3355085412892576,0.6628827164951648,0.0016087422155776029,0.0,0.0,0.34208743137492914,0.1490967534752366,0.05347057579245023,0.4553452393573841,0.0,31.66156194603112,1.0361170129236696,-0.5486905992942177,19.533920116456706,8.951184355324028,0.5,0.32802467548351205,0.030847168353374633,0.31228244654400794,0.4742936124895203,10,6,0,4,,0.33018471872376154,0.31228244654400794,0.26455101081335214,0.4742936124895203
4-9,complex,False,7,10,0.0,0.027497948632999848,0.32913279916095983,0.6699082093388636,0.0009589915001765205,0.0,0.0,0.32965100554749227,0.5387570892078875,0.01886188664286909,0.11273001860175116,0.0,30.284320196115406,1.102325776470836,-0.041780930682842526,17.37175024287363,10.722200422059634,0.6,0.061734033706557445,0.009206786680691756,0.0,0.004729924898902368,10,6,4,0,0.050950837390160576,0.8905231636427691,0.0,0.010377558035006082,0.004729924898902368
4-10,complex,False,7,10,0.0,0.24244238752392683,0.3240406916428881,0.6758612153670116,9.809299010031164e-05,0.0,0.0,0.4410322464013739,0.18253513372488359,0.046963944920015696,0.32946867495372684,0.0,33.7990232118475,1.0481937770476555,0.1068845021577452,13.635282824506234,10.743657706866365,1.0,,0.21857523248926736,,,9,7,1,1,0.22671979865771813,,,,
5-1,complex,False,7,10,0.0,0.17909769484083424,0.2976192726472047,0.6981103254425325,0.00427040191026281,0.0,0.0,0.3884962248911454,0.15405376547886587,0.03842339969766433,0.41902660993232443,0.0,34.78812463256908,1.0214974965869426,0.03862117785147246,16.236161248000705,7.8487757568273775,0.7,0.12196088355375807,0.19694305092293887,0.054751795355663886,0.17973607155749868,10,1,6,3,0.1544444210425672,0.65782459703008,0.054751795355663886,0.0,0.17973607155749868
5-2,complex,False,7,10,0.0,0.07824651109288785,0.30941215757382007,0.6859391846421216,0.004648657784058341,0.0,0.0,0.3492367791704294,0.43171533028784825,0.01849638420759525,0.2005515063341271,0.0,32.47275665303237,1.0220544881603975,-0.2673587223773372,13.790926637471978,8.529133614842038,0.3,0.1089470219583318,0.08535237201362615,0.003413286634716341,0.09152347883105078,10,3,3,4,0.10230319659194782,0.9382244399397058,0.003413286634716341,0.010106358025105051,0.09152347883105078
5-3,complex,False,7,10,0.0,0.21079897382109902,0.35462874807675876,0.6421105268985797,0.0032607250246614768,0.0,0.0,0.403644791814665,0.017031208207582135,0.08960092143670104,0.4897230785410518,0.0,31.44534906396256,1.0250001590788884,-0.42451472748304925,17.340444485407914,9.48279575109637,1.0,,0.26843552379124036,,,10,7,0,3,,,,,
5-4,complex,False,7,10,0.0,0.3001030940640177,0.3374795858219981,0.6596776646743692,0.0028427495036326867,0.0,0.0,0.4490064203838096,0.026849669199415983,0.08928722319552494,0.4348566872212495,0.0,30.9576976755378,1.0597955437994435,0.08634685865610016,16.19088622869047,4.997343718273671,1.0,,0.2876210388162588,,,10,10,0,0,,,,,
5-5,complex,False,7,10,0.0,0.43153758210158927,0.3224022069168302,0.6760183610252933,0.0015794320578764347,0.0,0.0,0.553465868136311,0.10965566951788015,0.06224309981152996,0.2746353625342789,0.0,33.1401164043975,1.0187551328638882,0.5195804692690762,19.09432410646578,8.850048630935264,0.1,0.3909626649469435,0.024468540447995433,0.3080706039972344,0.4724434199497066,10,8,1,1,0.024468540447995433,0.8963398071438272,0.3080706039972344,0.4473791323656961,0.4724434199497066
5-6,complex,False,7,10,0.0,0.13583104648719113,0.33081423559508477,0.6672753554707049,0.0019104089342102924,0.0,0.0,0.3575289673375962,0.35777030889178496,0.06583238702039718,0.21886833675022166,0.0,32.76093426827423,1.1169664771086563,0.16849811671281362,17.29124204916456,8.764475153033255,0.8,0.24939847578291607,0.08765644688662917,0.5813389403090707,0.08905626042561796,10,7,1,2,0.050806273470289376,0.6737724640950448,0.5813389403090707,0.10840601456750758,0.08905626042561796
5-7,complex,False,7,9,0.0,0.3750112603736192,0.34255259710145464,0.6550317947507545,0.002415608147790963,0.0,0.0,0.5131650644054607,0.03654022218063033,0.07744743977805908,0.37284727363584985,0.0,87.91283804162059,1.288749895672275,0.8142292338657815,17.114467593556544,9.696364556204266,0.4444444444444444,0.15372646890283231,0.2646531982952258,0.08682378146759508,0.1907131512358913,9,1,5,3,0.12641793437779617,0.6355234154452996,0.08682378146759508,0.21480160455281982,0.1907131512358913
