tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
1-4,regular,198,193023,8934.280696499909,7.620582000559425,0.15264631496801861,0.05301124344995753,0.830841137040302
1-4,regular,199,372950,17261.39617491665,13.021278008746274,2.288925190095238,0.7949014066687495,0.38561523083945914
1-4,regular,200,549521,30810.350486320156,7.681069911621724,1.0920123735113112,0.3792357109616603,0.4085643504887795
1-4,regular,201,331596,15034.80562597744,9.667038896977571,0.9930987688776032,0.3448848445365591,0.5183977536722337
1-4,regular,202,166121,7620.948294301295,7.59417530751411,0.164161324819597,0.05701019351107478,0.8806877339111349
1-4,regular,203,79861,3677.9392227373664,9.709269088263593,0.07256823606748775,0.025201606928497187,0.8276899924755455
1-4,regular,204,41454,1931.9621946071338,11.954166029112733,0.2149864094210443,0.07466080586772748,0.8316497167428845
1-4,regular,205,24190,1141.6466619168925,9.714242266091468,0.009106369713819618,0.0031624738661116853,0.7700220853190748
1-4,regular,206,14319,679.2271939066575,7.580268912514837,0.5460627439672034,0.18963749675491426,0.2715785381026439
1-5,regular,264,15883,743.7451704888524,9.749781968588279,1.2417138616504086,0.43119340482481694,0.018187970560866254
1-5,regular,265,25175,1185.7293638081287,7.614272799013588,0.1497121088867086,0.05198852647788058,0.12790886021273148
1-5,regular,266,42881,2058.394086588288,9.734436596234126,0.03619816790053676,0.012570054782755758,0.09844020797227036
1-5,regular,267,83788,3838.0875637160366,9.629374463754505,0.18017737945764623,0.06256779449775415,0.7640815341937041
1-5,regular,268,173652,7913.340846836229,11.90760994900607,0.10765549747380021,0.03738408818448589,0.8647845468053492
1-5,regular,269,369313,16751.31694752406,9.606009714058354,0.05043449334074168,0.017513713566267335,0.8393225852667774
1-5,regular,270,629183,33351.15535712089,7.634196083821809,0.0726811828334224,0.025239024593785023,0.8431858903136042
1-5,regular,271,443753,20346.123069767404,12.984313119459287,0.17696369625496366,0.06145182161141526,0.8116843479322466
1-5,regular,272,251689,11907.932172358713,10.65127319002386,0.1402123191931519,0.04868966126456973,0.8069834676307878
1-5,regular,273,115983,5441.578491164136,12.982454729089905,0.11657350184666626,0.040480924572112,0.8663969181446818
2-1,regular,55,31544,1502.5496660867104,7.611677395025402,0.060156507727752384,0.02088963381535828,0.7935429847413472
2-1,regular,56,55592,2635.2446695520052,9.752617382781619,0.09288070845728669,0.03225326837396621,0.7934321754931135
2-1,regular,57,110258,5200.954672290767,7.623354771666001,0.030203736119903013,0.010488391218717745,0.8175999327712261
2-1,regular,58,233367,10961.309264986074,9.722029972223325,0.006957127044994849,0.002415895501025256,0.8434993240971379
2-1,regular,59,433279,20428.852138036786,7.696289722986325,0.06013474601423319,0.020882076956694407,0.8188984687807811
2-1,regular,60,516949,28835.05597031911,9.65237036009593,0.0667852069980821,0.023191481207430854,0.8491057868297052
2-1,regular,61,298655,14132.61698863577,7.635583918766221,0.06389135337274077,0.022186576753498614,0.8493911156097713
2-1,regular,62,146439,7016.1564915745475,9.734332908491666,0.08148629775192973,0.028296504988466427,0.8585835217414165
2-1,regular,63,70721,3374.6274231621715,7.608436551697347,0.18692770531589353,0.06491153594996285,0.7310244711737868
2-1,regular,64,38472,1843.4311336377486,9.74898525435832,0.024627443670707905,0.008551997107573331,0.8368205552007814
