ring_key,section,split,pattern_type,bottom_baseline_miou,k_only_plus_miou,proxy_plus_miou,proxy_minus_miou,proxy_margin_minus_plus,selected_order,selected_proxy_miou,oracle_order,oracle_miou,lift_k_only_minus_bottom,lift_proxy_minus_k_only,lift_proxy_minus_bottom,degrade_lt_minus_0p01,missed_oracle_gain_gt_0p05
4-9/r367,4-9,within_section,canonical,0.1409094611133204,0.0949460311444006,0.2392347417391366,0.2953636048241853,0.0561288630850487,minus,0.4124645781546602,minus,0.4124645781546602,-0.04596342996891979,0.3175185470102596,0.27155511704133983,False,False
5-1/r117,5-1,cross_section,canonical,0.1441178642952994,0.1196046647433986,0.204423992634415,0.2050300513541325,0.0006060587197175,minus,0.4117601666553132,minus,0.4117601666553132,-0.024513199551900802,0.2921555019119146,0.26764230236001374,False,False
5-1/r118,5-1,cross_section,canonical,0.1903966299555938,0.1729739249205795,0.3174282320316019,0.4237038947966165,0.1062756627650146,minus,0.8200313624297346,minus,0.8200313624297346,-0.017422705035014308,0.6470574375091551,0.6296347324741408,False,False
5-2/r140,5-2,cross_section,reversed_canonical,0.1657818073229979,0.1129270814888538,0.2662970173257152,0.3113066461703824,0.0450096288446671,minus,0.5810391424317238,minus,0.5810391424317238,-0.052854725834144106,0.46811206094287006,0.4152573351087259,False,False
5-2/r144,5-2,cross_section,reversed_canonical,0.1277295743717096,0.114689599589088,0.2325888001267962,0.2398503968402908,0.0072615967134946,minus,0.090174427685305,plus,0.114689599589088,-0.013039974782621588,-0.02451517190378301,-0.0375551466864046,True,False
5-3/r192,5-3,cross_section,canonical,0.1234064499715692,0.0700873245473052,0.2526839266302586,0.2232451392024193,-0.0294387874278393,plus,0.0700873245473052,minus,0.2038478577576486,-0.05331912542426401,0.0,-0.05331912542426401,False,True
5-3/r195,5-3,cross_section,canonical,0.401441771373846,0.0938404317052126,0.1818669454921411,0.2516558505840209,0.0697889050918797,minus,0.1249909583376835,minus,0.1249909583376835,-0.3076013396686334,0.031150526632470907,-0.2764508130361625,False,False
5-3/r199,5-3,cross_section,canonical,0.0704620388002498,0.4480281069091824,0.4997426151457548,0.2920568707752491,-0.2076857443705057,plus,0.4480281069091824,plus,0.4480281069091824,0.37756606810893256,0.0,0.37756606810893256,False,False
5-4/r225,5-4,cross_section,reversed_canonical,0.0948326878981118,0.0649660970210951,0.2957494808904188,0.2881954217090237,-0.007554059181395,plus,0.0649660970210951,minus,0.0948326878981118,-0.029866590877016708,0.0,-0.029866590877016708,False,False
5-4/r227,5-4,cross_section,reversed_canonical,0.1368189665649869,0.1509383640757948,0.2866976351567709,0.3830023242949405,0.0963046891381695,minus,0.7795598603697154,minus,0.7795598603697154,0.014119397510807902,0.6286214962939205,0.6427408938047284,False,False
5-5/r251,5-5,within_section,reversed_canonical,0.1745257041808766,0.150950114157832,0.2955301342707078,0.3779542507660809,0.0824241164953731,minus,0.7854450430866597,minus,0.7854450430866597,-0.0235755900230446,0.6344949289288278,0.6109193389057832,False,False
5-5/r254,5-5,within_section,reversed_canonical,0.1632119937638843,0.1814630672941669,0.5336119177401767,0.2071323952815002,-0.3264795224586764,plus,0.1814630672941669,plus,0.1814630672941669,0.018251073530282602,0.0,0.018251073530282602,False,False
5-5/r259,5-5,within_section,reversed_canonical,0.1624271187631222,0.1193049957182749,0.4655694014263019,0.3044055217088997,-0.1611638797174021,plus,0.1193049957182749,minus,0.5878021182842843,-0.04312212304484732,0.0,-0.04312212304484732,False,True
5-6/r285,5-6,cross_section,reversed_canonical,0.129582304910499,0.1585825225657581,0.1936792293615953,0.1739432557365322,-0.019735973625063,plus,0.1585825225657581,minus,0.3228595349588326,0.02900021765525912,0.0,0.02900021765525912,False,True
5-7/r316,5-7,within_section,canonical,0.4364634037802292,0.0821510681375819,0.3801555718582395,0.3509531666780299,-0.0292024051802096,plus,0.0821510681375819,minus,0.2121321756544955,-0.3543123356426473,0.0,-0.3543123356426473,False,True
5-7/r317,5-7,within_section,canonical,0.0666615878996066,0.6418068938076635,0.479352861164543,0.3329862387211405,-0.1463666224434025,plus,0.6418068938076635,plus,0.6418068938076635,0.5751453059080569,0.0,0.5751453059080569,False,False
5-7/r322,5-7,within_section,canonical,0.0817684212763646,0.0690239043824701,0.2144032109566437,0.1711869615861607,-0.043216249370483,plus,0.0690239043824701,minus,0.1965557878833237,-0.012744516893894511,0.0,-0.012744516893894511,False,True
