trial_id,kind,gt_miou,best_so_far,regret_vs_ceiling,k_y,r_surface_min,hough_oblique_threshold,hough_horizontal_threshold,line_merge_distance,line_snap_tolerance_px,segmentation_slot_inset_y,r_surface_min_ceiling_ref
32,bo,0.2891656440740014,0.3628333234240663,0.5422666765759336,2438.06511317836,3.1972,61.0,79.0,6.2667,39.4513,11.6885,3.7136
33,bo,0.11915750931826702,0.3628333234240663,0.5422666765759336,2263.896090159351,3.4845,75.0,27.0,4.3603,34.3105,7.0762,3.7136
34,bo,0.2998213131097761,0.3628333234240663,0.5422666765759336,2426.002912011059,3.4303,31.0,95.0,10.2559,29.4862,14.3806,3.7136
35,bo,0.20951710737426962,0.3628333234240663,0.5422666765759336,2448.5688319147453,2.7259,37.0,10.0,8.1928,7.7548,8.5793,3.7136
36,bo,0.22161529882408004,0.3628333234240663,0.5422666765759336,2430.4403860383823,3.7376,75.0,108.0,10.5865,70.068,9.5034,3.7136
37,bo,0.26849883221951054,0.3628333234240663,0.5422666765759336,2479.002796174187,2.705,38.0,24.0,10.0583,7.2206,11.9604,3.7136
38,bo,0.18827877138692284,0.3628333234240663,0.5422666765759336,2464.415685186782,2.1484,32.0,24.0,11.1914,30.4232,0.434,3.7136
39,bo,0.0865174185378457,0.3628333234240663,0.5422666765759336,2283.4697759150376,3.3605,67.0,92.0,5.1613,47.9321,21.7064,3.7136
40,bo,0.24816683295848085,0.3628333234240663,0.5422666765759336,2411.0239898393816,3.7257,66.0,26.0,3.238,35.6245,16.9203,3.7136
41,bo,0.3400459680953424,0.3628333234240663,0.5422666765759336,2354.8991079132143,3.4631,72.0,48.0,8.9493,8.8632,2.9266,3.7136
42,bo,0.16782742329576178,0.3628333234240663,0.5422666765759336,2364.755796260032,3.3594,71.0,76.0,9.3911,39.1505,7.0212,3.7136
43,bo,0.11841518528285352,0.3628333234240663,0.5422666765759336,2422.640498369135,3.3606,76.0,48.0,2.5374,15.2015,18.2079,3.7136
44,bo,0.09384843025028544,0.3628333234240663,0.5422666765759336,2479.7862168126567,3.749,74.0,26.0,4.9454,33.7017,20.3349,3.7136
45,bo,0.2706891906735658,0.3628333234240663,0.5422666765759336,2336.25599038973,3.045,35.0,27.0,2.0377,66.5939,13.7501,3.7136
46,bo,0.19702803793421436,0.3628333234240663,0.5422666765759336,2294.5797291111007,2.6219,66.0,18.0,4.0347,33.2296,1.2272,3.7136
47,bo,0.07790027047524296,0.3628333234240663,0.5422666765759336,2288.4862669155,3.4433,22.0,82.0,11.8783,35.9055,24.4668,3.7136
48,bo,0.16810222581413664,0.3628333234240663,0.5422666765759336,2303.657061682949,3.5035,42.0,22.0,2.8907,48.5409,3.6779,3.7136
49,bo,0.31054445788052176,0.3628333234240663,0.5422666765759336,2377.207242203752,2.0786,86.0,75.0,3.9737,79.3987,3.9001,3.7136
50,bo,0.12543269092084128,0.3628333234240663,0.5422666765759336,2322.1902428669528,2.3447,24.0,108.0,6.8619,31.3219,1.6199,3.7136
51,bo,0.1971945177027352,0.3628333234240663,0.5422666765759336,2312.448692357262,3.3865,25.0,117.0,5.0213,76.6135,21.7842,3.7136
52,bo,0.1094533601277766,0.3628333234240663,0.5422666765759336,2672.64053419498,3.3901,73.0,36.0,2.8236,69.9776,5.8997,3.7136
53,bo,0.15758063035917533,0.3628333234240663,0.5422666765759336,2284.2025055907097,2.1329,33.0,114.0,3.755,29.6352,20.469,3.7136
54,bo,0.16766874427525288,0.3628333234240663,0.5422666765759336,2356.2787074302273,2.6927,36.0,64.0,11.3904,17.7161,24.5253,3.7136
55,bo,0.18928271304394872,0.3628333234240663,0.5422666765759336,2382.9659703266866,2.6249,35.0,51.0,5.8214,49.0411,9.2068,3.7136
56,bo,0.18642684763640555,0.3628333234240663,0.5422666765759336,2417.556198517738,2.4599,90.0,107.0,6.3728,35.4651,16.2259,3.7136
57,bo,0.39984248740637723,0.39984248740637723,0.5052575125936227,2472.9059850756844,2.5716,75.0,61.0,4.7582,26.0502,2.2156,3.7136
58,bo,0.09132545655657519,0.39984248740637723,0.5052575125936227,2430.9666347280404,2.1178,34.0,66.0,8.6465,76.618,13.6158,3.7136
59,bo,0.1549539384588953,0.39984248740637723,0.5052575125936227,2528.546709411354,2.7458,75.0,92.0,4.5211,23.3975,13.8014,3.7136
