ring_key,split,pattern_type,bottom_baseline_miou,k_only_miou,k_plus_direction_miou,lift_k_only_minus_bottom,lift_direction_minus_bottom,lift_direction_minus_k_only,chosen_direction,direction_confidence,ontology_passed,n_pred_segments,plus_miou,minus_miou,plus_status,minus_status
4-8/r332,within_section,reversed_canonical,0.0965057941664676,0.598982559952365,0.598982559952365,0.5024767657858975,0.5024767657858975,0.0,tie_plus_default,low,True,7,0.598982559952365,0.1316262560679743,ok,ok
4-9/r360,within_section,canonical,0.14170344448009592,0.2118338487609162,0.2118338487609162,0.07013040428082029,0.07013040428082029,0.0,tie_plus_default,low,True,7,0.2118338487609162,0.0719472710453284,ok,ok
4-9/r367,within_section,canonical,0.14090946111332045,0.09494603114440062,0.09494603114440062,-0.04596342996891983,-0.04596342996891983,0.0,tie_plus_default,low,True,7,0.09494603114440062,0.4124645781546602,ok,ok
4-9/r363,within_section,canonical,0.1877228767856381,0.10767981565475285,0.10767981565475285,-0.08004306113088525,-0.08004306113088525,0.0,tie_plus_default,low,True,7,0.10767981565475285,0.3713013303790782,ok,ok
5-5/r254,within_section,reversed_canonical,0.1632119937638843,0.18146306729416695,0.18146306729416695,0.018251073530282658,0.018251073530282658,0.0,tie_plus_default,low,True,7,0.18146306729416695,0.07754951873359318,ok,ok
5-5/r259,within_section,reversed_canonical,0.16242711876312227,0.11930499571827495,0.11930499571827495,-0.04312212304484732,-0.04312212304484732,0.0,tie_plus_default,low,True,7,0.11930499571827495,0.5878021182842843,ok,ok
5-5/r251,within_section,reversed_canonical,0.1745257041808766,0.15095011415783202,0.15095011415783202,-0.023575590023044574,-0.023575590023044574,0.0,tie_plus_default,low,True,7,0.15095011415783202,0.7854450430866597,ok,ok
5-7/r316,within_section,canonical,0.4364634037802292,0.0821510681375819,0.0821510681375819,-0.3543123356426473,-0.3543123356426473,0.0,tie_plus_default,low,True,7,0.0821510681375819,0.2121321756544955,ok,ok
5-7/r322,within_section,canonical,0.0817684212763646,0.06902390438247012,0.06902390438247012,-0.012744516893894484,-0.012744516893894484,0.0,tie_plus_default,low,True,7,0.06902390438247012,0.19655578788332373,ok,ok
5-7/r317,within_section,canonical,0.06666158789960662,0.6418068938076635,0.6418068938076635,0.5751453059080569,0.5751453059080569,0.0,tie_plus_default,low,True,7,0.6418068938076635,0.11941686241862753,ok,ok
