ring_key,section,split,pattern_type_readout,plus_miou,minus_miou,oracle_miou,minus_better,plus_minus_gap,det_k_confidence,det_pos_count,det_neg_count,det_line_diff_pos_minus_neg,det_abs_line_diff,det_horizontal_count,det_selected_pos_count,det_selected_neg_count,det_k_y_rel,det_type_pair,det_type_single,det_type_default,pre_valid_ratio,pre_empty_row_band_ratio,det_y_coverage_pct,det_min_y_gap_px,det_k_x_spacing_cv,seg_mask_coverage_pct,seg_ring_completeness_avg,seg_k_size_ratio,seg_block_size_variance_ratio,health_score_diff_plus_minus,k_width_rank_norm,k_width_ratio,width_cv,z_score_plus,z_score_minus,z_score_diff_plus_minus,k_z_rel,k_intensity_rel,k_r_rel
5-2/r140,5-2,cross_section,reversed_canonical,0.11292708148885382,0.5810391424317238,0.5810391424317238,1,-0.46811206094287,0.9,16.0,1.0,15.0,15.0,2.0,1.0,1.0,0.18420526205104934,1,0,0,0.0013036623817608538,0.058786078098471986,100.0,248.0,0.7071067811865476,2.2544642553590784,1.0,6.436240801061648,4.545068928950159,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7391708792526019,0.47264843567350784,0.2665224435790941,0.5334577008480272,0.16638183712137533,0.2916347162313684
5-2/r144,5-2,cross_section,reversed_canonical,0.11468959958908807,0.09017442768530501,0.11468959958908807,0,0.024515171903783065,0.65,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.7232597623089984,0,1,0,0.009291915355398807,0.05432937181663837,100.0,248.0,1.0,40.31334569105271,1.0,4.097858347318628,5.887498778223048,0.0,0.0,0.3333333333333333,0.2578410989207394,0.5703122235727581,0.6599698051918498,-0.08965758161909165,0.618991311692323,0.4710942697900281,-0.6617922363168285
5-3/r192,5-3,cross_section,canonical,0.07008732454730526,0.20384785775764866,0.20384785775764866,1,-0.1337605332103434,0.9,4.0,6.0,-2.0,2.0,18.0,1.0,1.0,0.5111640999166029,1,0,0,0.0028055560738073472,0.058149405772495756,100.0,248.0,1.0,6.79891671612875,1.0,2.2713100659473557,10.323627287853578,0.0,0.0,0.3333333333333333,0.2578410989207394,0.3118302403434513,0.8506632025226415,-0.5388329621791902,0.0,-1.1306748385526768,-1.16146208495667
5-3/r195,5-3,cross_section,canonical,0.09384043170521268,0.1249909583376835,0.1249909583376835,1,-0.031150526632470824,0.65,0.0,1.0,-1.0,1.0,3.0,0.0,1.0,0.20500848896434634,0,1,0,0.017969054477200746,0.053480475382003394,100.0,248.0,1.414213562373095,57.69665258762049,1.0,1.7639428733448383,12.727123148968484,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7888013306683367,0.4033612773335433,0.38544005333479336,0.5067346975378892,0.30082433301020334,0.9512969233234475
5-3/r199,5-3,cross_section,canonical,0.4480281069091824,0.09524220929250918,0.4480281069091824,0,0.3527858976166732,0.65,3.0,0.0,3.0,3.0,3.0,1.0,0.0,0.31950339558573854,0,1,0,0.0017514193913503843,0.05305602716468591,100.0,248.0,1.0,4.324883767739242,1.0,4.665460082162659,5.559729064039409,0.0,0.0,0.3333333333333333,0.2578410989207394,0.998466089740276,-0.1940387983014199,1.1925048880416957,0.1634884761413648,-1.0461858404641011,1.4258192412325412
5-4/r225,5-4,cross_section,reversed_canonical,0.06496609702109511,0.09483268789811189,0.09483268789811189,1,-0.029866590877016777,0.9,1.0,58.0,-57.0,57.0,46.0,1.0,1.0,0.014555172746157375,1,0,0,0.004903128657540837,0.5899830220713073,100.0,248.00000000000003,1.0,5.049388320857422,0.7142857142857143,43.72124977597228,14637.0,0.0,0.0,0.33333333333333337,0.25784109892073936,0.5570759705796782,-0.046661731007063306,0.6037377015867414,0.30957457666583943,-0.6165598301286443,0.6703997593075909
5-4/r227,5-4,cross_section,reversed_canonical,0.15093836407579486,0.7795598603697154,0.7795598603697154,1,-0.6286214962939205,0.65,6.0,0.0,6.0,6.0,7.0,1.0,0.0,0.6306239388794567,0,1,0,0.005954465461218954,0.054541595925297115,100.0,248.0,1.4142135623730954,20.314583602941592,1.0,2.8943760473071225,6.972727272727273,0.0,0.0,0.3333333333333333,0.2578410989207394,0.03757237594758403,0.9599163977305633,-0.9223440217829793,0.2629346544170292,-0.5828026967923636,-0.48600215607556524
5-6/r285,5-6,cross_section,reversed_canonical,0.15858252256575817,0.3228595349588326,0.3228595349588326,1,-0.1642770123930744,0.65,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.5597410865874364,0,1,0,0.009103382993412911,0.2567911714770798,100.0,248.0,1.0,29.477620445217923,1.0,7.947965704668987,29.81390032007316,0.0,0.0,0.3333333333333333,0.2578410989207394,0.1406502362663257,0.9078315761393652,-0.7671813398730395,0.17768096855216417,-0.6354108775124099,-1.0265568449913944
4-1/r110,4-1,within_section,reversed_canonical,0.46076492406455294,0.09701803320188826,0.46076492406455294,0,0.36374689086266465,0.65,2.0,1.0,1.0,1.0,4.0,1.0,0.0,0.7804541595925297,0,1,0,0.0007733881264329418,0.07130730050933787,100.0,248.0,1.414213562373095,1.8030862001997148,1.0,8.740508418620006,3.6490438695163103,0.0,0.0,0.3333333333333333,0.2578410989207394,0.8629711802877243,0.2792055908889273,0.583765589398797,0.8170150360209888,-0.7227576046197794,1.1193147850999934
4-1/r115,4-1,within_section,reversed_canonical,0.27955437193645866,0.09021970022015742,0.27955437193645866,0,0.18933467171630125,0.9,6.0,1.0,5.0,5.0,4.0,1.0,1.0,0.41479471956726527,1,0,0,0.012476328849418832,0.0730050933786078,100.0,248.0,1.0,52.20777200460471,1.0,9.207334878814786,3.381894968784429,0.0,0.0,0.3333333333333333,0.2578410989207394,0.7448823983577018,0.4725025820316203,0.27237981632608144,0.0,-2.0133378663098114,-1.5458357178905549
